sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 20, 2024 17:47:59

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +GEN_PROBE[6].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[6].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[8].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	     18(18)	     0(0)	     0(0)	
  +GEN_PROBE[8].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	     22(22)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[18].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0111,PIPE=1)	     17(17)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[18].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0111,PIPE=1)	     17(17)	       0(0)	     25(25)	     0(0)	     0(0)	
  +GEN_PROBE[19].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[19].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     29(29)	     0(0)	     0(0)	
  +GEN_PROBE[20].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[20].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[21].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[21].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[22].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[22].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[23].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[23].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[24].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[24].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[25].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[25].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[26].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[26].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[27].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	     10(10)	     0(0)	     0(0)	
  +GEN_PROBE[27].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	     10(10)	     0(0)	     0(0)	
  +GEN_PROBE[28].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[28].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[29].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[29].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[30].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[30].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[31].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[31].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     30(30)	     0(0)	     0(0)	
  +GEN_PROBE[32].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[32].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[33].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[33].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[34].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[34].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[35].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[35].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[36].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[36].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[37].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	     50(50)	     0(0)	     0(0)	
  +GEN_PROBE[37].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	     47(47)	     0(0)	     0(0)	
  +GEN_PROBE[38].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[38].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[39].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[39].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[40].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[40].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[41].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[41].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[42].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	     49(49)	     0(0)	     0(0)	
  +GEN_PROBE[42].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	     49(49)	     0(0)	     0(0)	
  +GEN_PROBE[43].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       4(4)	     0(0)	     0(0)	
  +GEN_PROBE[43].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[44].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[44].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[45].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[45].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[46].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[46].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[47].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     27(27)	     0(0)	     0(0)	
  +GEN_PROBE[47].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[48].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[48].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[49].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[49].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[50].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[50].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[51].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     31(31)	     0(0)	     0(0)	
  +GEN_PROBE[51].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[52].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       3(3)	     0(0)	     0(0)	
  +GEN_PROBE[52].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     12(12)	     0(0)	     0(0)	
  +GEN_PROBE[53].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[53].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[54].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
  +GEN_PROBE[54].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	     11(11)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b0110111,PIPE=1)        	       1(1)	       0(0)	       5(5)	     0(0)	     0(0)	
  +genblk2.global_capture_inst:trigger_unit(WIDTH=32'b0110111,PIPE=1,TRIGGER_IF_MASK_ZERO=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b011011111,DATA_DEPTH=8192,CAPTURE_CONTROL=1)	    418(98)	      68(0)	   484(349)	   448(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b011100000,ADDR_WIDTH=13)	   320(294)	     68(68)	    135(64)	   448(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=13,CELL_ADDR_WIDTH=14)	     13(13)	       0(0)	     14(14)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=13,CELL_ADDR_WIDTH=14)	     13(13)	       0(0)	     25(25)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b011100000,ADDR_WIDTH=13,RAM_INIT_FILE="")	       0(0)	       0(0)	     32(32)	 448(448)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     86(86)	       0(0)	     75(75)	     0(0)	     0(0)	
